name,model,loss,optimizer,learning_rate,epochs,batch_size,seq_len,iots,train_test_split,train_val_split,model_filename,train,test,tr_star,ws_star,benign_test,gafgyt_combo,gafgyt_junk,gafgyt_scan,gafgyt_tcp,gafgyt_udp,mirai_ack,mirai_scan,mirai_syn,mirai_udp,mirai_udpplain
Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,AutoEncoder,MSE,SGD,0.02,350,32,,Provision_737_Security_Camera,0.66,0.8,../models/Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.061234009,230,0.001164353,0.997827221,0.995802945,0.995527697,0,0,0.997827474,0.998702315,0.998059854,0.999256027,0.997824672
Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,AutoEncoder,MSE,SGD,0.02,350,32,,Provision_838_Security_Camera,0.66,0.8,../models/Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.061234009,230,0.001164353,0.997827221,0.995802945,0.995527697,0,0,0.997827474,0.998702315,0.998059854,0.999256027,0.997824672
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster,AutoEncoder,MSE,SGD,0.01,300,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster,TRUE,TRUE,0.053635564,1298,0.010291054,0.988044139,0.977046083,0.976639712,0.992681499,0.993723486,0.994187298,0.985891574,0.994813666,0.995733446,0.991718215
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster,AutoEncoder,MSE,SGD,0.01,300,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster,TRUE,TRUE,0.053635564,1298,0.010291054,0.988044139,0.977046083,0.976639712,0.992681499,0.993723486,0.994187298,0.985891574,0.994813666,0.995733446,0.991718215
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster,AutoEncoder,MSE,SGD,0.01,300,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster,TRUE,TRUE,0.053635564,1298,0,0.988955857,0.976325101,0.977250455,0.993382615,0.993678384,0.993954491,0.985162797,0.99464398,0.995874819,0.992325548
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster,AutoEncoder,MSE,SGD,0.01,300,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Cluster,TRUE,TRUE,0.053635564,1298,0,0.988955857,0.976325101,0.977250455,0.993382615,0.993678384,0.993954491,0.985162797,0.99464398,0.995874819,0.992325548
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987960248,0.975823678,0.974741441,0,0,0.98772996,0.992384869,0.988668512,0.995244739,0.986997407
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987960248,0.975823678,0.974741441,0,0,0.98772996,0.992384869,0.988668512,0.995244739,0.986997407
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Provision_737_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987960248,0.975823678,0.974741441,0,0,0.98772996,0.992384869,0.988668512,0.995244739,0.986997407
Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster.txt,AutoEncoder,MSE,SGD,0.01,325,32,,Provision_838_Security_Camera,0.66,0.8,../models/Simple_Home_1002_Security_Camera_Simple_Home_1003_Security_Camera_Provision_737_Security_Camera_Provision_838_Security_Camera_Cluster,TRUE,TRUE,0.065661833,1464,0,0.987960248,0.975823678,0.974741441,0,0,0.98772996,0.992384869,0.988668512,0.995244739,0.986997407
